💎内网源💎,#genre#
💎独家内网源💎,https://my5353.com/uQJjg
💎独家内网源💎,https://my5353.com/uQJjg

央视频道,#genre#
CCTV-1,http://111.63.117.13:6060/030000001000/CCTV--1-HD/CCTV--1-HD.m3u8
CCTV-2,http://111.63.117.13:6060/030000001000/G_CCTV--2/G_CCTV--2.m3u8
CCTV-3,http://111.63.117.13:6060/030000001000/CCTV--3/CCTV--3.m3u8
CCTV-4,http://111.63.117.13:6060/030000001000/CCTV--4/CCTV--4.m3u8
CCTV-5,http://111.63.117.13:6060/030000001000/CCTV--5/CCTV--5.m3u8
CCTV-5+,http://111.63.117.13:6060/030000001000/G_CCTV--5PLUS/G_CCTV--5PLUS.m3u8
CCTV-6,http://111.63.117.13:6060/030000001000/CCTV--6/CCTV--6.m3u8
CCTV-7,http://111.63.117.13:6060/030000001000/CCTV--7/CCTV--7.m3u8
CCTV-8,http://111.63.117.13:6060/030000001000/G_CCTV--8/G_CCTV--8.m3u8
CCTV-9,http://111.63.117.13:6060/030000001000/G_CCTV--9/G_CCTV--9.m3u8
CCTV-10,http://111.63.117.13:6060/030000001000/CCTV--10/CCTV--10.m3u8
CCTV-11,http://111.63.117.13:6060/030000001000/CCTV--11/CCTV--11.m3u8
CCTV-12,http://111.63.117.13:6060/030000001000/CCTV--12/CCTV--12.m3u8
CCTV-13,http://111.63.117.13:6060/030000001000/CCTV--13/CCTV-_13.m3u8
CCTV-14,http://111.63.117.13:6060/030000001000/G_CCTV--14/G_CCTV--14.m3u8
CCTV-15,http://111.63.117.13:6060/030000001000/G_CCTV--15/G_CCTV-15.m3u8
CCTV-17,http://111.63.117.13:6060/030000001000/G_CCTV--17/G_CCTV-17.m3u8

卫视频道,#genre#
北京卫视,http://111.63.117.13:6060/030000001000/G_BEIJING/G_BEIJING.m3u8
东方卫视,http://111.63.117.13:6060/030000001000/G_DONGFANG/G_DONGFANG.m3u8
浙江卫视,http://111.63.117.13:6060/030000001000/G_ZHEJIANG/G_ZHEJIANG.m3u8
湖南卫视,http://111.63.117.13:6060/030000001000/G_HUNAN/G_HUNAN.m3u8
深圳卫视,http://111.63.117.13:6060/030000001000/G_SHENZHEN/G_SHENZHEN.m3u8
东南卫视,http://111.63.117.13:6060/030000001000/DNWS/DNWS.m3u8
河北卫视,http://111.63.117.13:6060/030000001000/G_HEBEI/G_HEBEI.m3u8
重庆卫视,http://111.63.117.13:6060/030000001000/G_CHONGQING/G_CHONGQING.m3u8
广东卫视,http://111.63.117.13:6060/030000001000/G_GUANGDONG/G_GUANGDONG.m3u8
湖北卫视,http://111.63.117.13:6060/030000001000/G_HUBEI/G_HUBEI.m3u8
河南卫视,http://111.63.117.13:6060/030000001000/HENAN/HENAN.m3u8
山东卫视,http://111.63.117.13:6060/030000001000/SDWS/SDWS.m3u8
天津卫视,http://111.63.117.13:6060/030000001000/TJWS/TJWS.m3u8
安徽卫视,http://111.63.117.13:6060/030000001000/AHWS/AHWS.m3u8
四川卫视,http://111.63.117.13:6060/030000001000/SCWS/SCWS.m3u8
江西卫视,http://111.63.117.13:6060/030000001000/JXWS/JXWS.m3u8
贵州卫视,http://111.63.117.13:6060/030000001000/G_GUIZHOU/G_GUIZHOU.m3u8
吉林卫视,http://111.63.117.13:6060/030000001000/G_JILIN/G_JILIN.m3u8
辽宁卫视,http://111.63.117.13:6060/030000001000/LNWS/LNWS.m3u8
黑龙江卫视,http://111.63.117.13:6060/030000001000/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ.m3u8
海南卫视,http://111.63.117.13:6060/030000001000/LYWS/LYWS.m3u8
广西卫视,http://111.63.117.13:6060/030000001000/GXWS/GXWS.m3u8
内蒙古卫视,http://111.63.117.13:6060/030000001000/G_NEIMENGGU/G_NEIMENGGU.m3u8
