央视频道,#genre#
CCTV-1 综合,http://115.153.212.72/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.222.112/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.230.145/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.233.154/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.240.228/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.245.70/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.247.80/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.254.81/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,rtsp://115.153.212.72/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-1 综合,rtsp://115.153.222.112:554/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-1 综合,rtsp://115.153.230.145/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-1 综合,rtsp://115.153.233.154/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-1 综合,rtsp://115.153.240.228:554/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-1 综合,rtsp://115.153.245.70/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-1 综合,rtsp://115.153.247.80/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-1 综合,rtsp://115.153.254.81/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-1 综合,http://115.153.212.72/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.222.112/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.230.145/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.233.154/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.240.228/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.245.70/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.247.80/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://115.153.254.81/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,rtsp://115.153.212.72/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
CCTV-1 综合,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
CCTV-1 综合,rtsp://115.153.230.145/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
CCTV-1 综合,rtsp://115.153.233.154/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
CCTV-1 综合,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
CCTV-1 综合,rtsp://115.153.245.70/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
CCTV-1 综合,rtsp://115.153.247.80/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
CCTV-1 综合,rtsp://115.153.254.81/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
